prompt_id,prompt,contains_pii,intended_pii,verification_passed,prompt_category,role_context,practice_area_context,pii_findings,pii_count,unique_pii_types,source_entities,entity_count,prompt_length,generated_timestamp,prompt_number
adf792ff-e9c7-413a-8b5a-4d7791fda27f,Review client intake form for Jennifer Gutierrez (DOB: 07/11/1964),True,True,True,Legal Professional Query with PII,Partner,Criminal Defense,"[{""pii_type"": ""PERSON_NAME"", ""value"": ""Review client"", ""start_index"": 0, ""end_index"": 13}, {""pii_type"": ""PERSON_NAME"", ""value"": ""intake form"", ""start_index"": 14, ""end_index"": 25}, {""pii_type"": ""PERSON_NAME"", ""value"": ""for Jennifer"", ""start_index"": 26, ""end_index"": 38}, {""pii_type"": ""DATE_OF_BIRTH"", ""value"": ""07/11/1964"", ""start_index"": 55, ""end_index"": 65}]",4,"PERSON_NAME, DATE_OF_BIRTH","[{""entity_type"": ""person"", ""entity_value"": ""Review client"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""intake form"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""for Jennifer"", ""context"": ""legal_participant""}]",3,66,2025-08-01T10:12:29.669332,11
b9175922-18c6-44ff-a3eb-ebd71e65ca50,Coordinate between Daniel Brown and Joseph Wright for case CV-2024-8079,True,True,True,Legal Professional Query with PII,Compliance Officer,Personal Injury,"[{""pii_type"": ""PERSON_NAME"", ""value"": ""Coordinate between"", ""start_index"": 0, ""end_index"": 18}, {""pii_type"": ""PERSON_NAME"", ""value"": ""Daniel Brown"", ""start_index"": 19, ""end_index"": 31}, {""pii_type"": ""PERSON_NAME"", ""value"": ""and Joseph"", ""start_index"": 32, ""end_index"": 42}, {""pii_type"": ""PERSON_NAME"", ""value"": ""Wright for"", ""start_index"": 43, ""end_index"": 53}, {""pii_type"": ""PERSON_NAME"", ""value"": ""case CV"", ""start_index"": 54, ""end_index"": 61}, {""pii_type"": ""CASE_NUMBER"", ""value"": ""CV-2024-8079"", ""start_index"": 59, ""end_index"": 71}]",6,"PERSON_NAME, CASE_NUMBER","[{""entity_type"": ""person"", ""entity_value"": ""Coordinate between"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""Daniel Brown"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""and Joseph"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""Wright for"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""case CV"", ""context"": ""legal_participant""}, {""entity_type"": ""case"", ""entity_value"": ""CV-2024-8079"", ""context"": ""legal_case""}]",6,71,2025-08-01T10:12:29.830481,12
7c8f1e1a-4872-4803-9d00-3081a20c1072,"Counter-offer $390,424.00 in case CV-2020-9848",True,True,True,Legal Professional Query with PII,Research Attorney,Securities Law,"[{""pii_type"": ""PERSON_NAME"", ""value"": ""in case"", ""start_index"": 26, ""end_index"": 33}, {""pii_type"": ""ADDRESS"", ""value"": ""00 in case"", ""start_index"": 23, ""end_index"": 33}, {""pii_type"": ""CASE_NUMBER"", ""value"": ""CV-2020-9848"", ""start_index"": 34, ""end_index"": 46}, {""pii_type"": ""SETTLEMENT_AMOUNT"", ""value"": ""$390,424.00"", ""start_index"": 14, ""end_index"": 25}]",4,"ADDRESS, PERSON_NAME, CASE_NUMBER, SETTLEMENT_AMOUNT","[{""entity_type"": ""person"", ""entity_value"": ""in case"", ""context"": ""legal_participant""}, {""entity_type"": ""case"", ""entity_value"": ""CV-2020-9848"", ""context"": ""legal_case""}]",2,46,2025-08-01T10:12:29.869473,13
376fc21d-bb90-431c-8cd0-6a34d97e049e,Update employee handbook with recent policies,True,False,False,Legal Professional Query without PII,Research Attorney,Criminal Defense,"[{""pii_type"": ""PERSON_NAME"", ""value"": ""Update employee"", ""start_index"": 0, ""end_index"": 15}, {""pii_type"": ""PERSON_NAME"", ""value"": ""handbook with"", ""start_index"": 16, ""end_index"": 29}, {""pii_type"": ""PERSON_NAME"", ""value"": ""recent policies"", ""start_index"": 30, ""end_index"": 45}]",3,PERSON_NAME,"[{""entity_type"": ""person"", ""entity_value"": ""Update employee"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""handbook with"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""recent policies"", ""context"": ""legal_participant""}]",3,45,2025-08-01T10:12:29.918627,14
0ed9fa95-a26e-465b-903b-e7882d445af8,Review Margaret Alvarez's billing for case CV-2020-2568,True,True,True,Legal Professional Query with PII,Legal Assistant,Intellectual Property,"[{""pii_type"": ""PERSON_NAME"", ""value"": ""Review Margaret"", ""start_index"": 0, ""end_index"": 15}, {""pii_type"": ""PERSON_NAME"", ""value"": ""billing for"", ""start_index"": 26, ""end_index"": 37}, {""pii_type"": ""PERSON_NAME"", ""value"": ""case CV"", ""start_index"": 38, ""end_index"": 45}, {""pii_type"": ""CASE_NUMBER"", ""value"": ""CV-2020-2568"", ""start_index"": 43, ""end_index"": 55}]",4,"PERSON_NAME, CASE_NUMBER","[{""entity_type"": ""person"", ""entity_value"": ""Review Margaret"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""billing for"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""case CV"", ""context"": ""legal_participant""}, {""entity_type"": ""case"", ""entity_value"": ""CV-2020-2568"", ""context"": ""legal_case""}]",4,55,2025-08-01T10:12:29.647498,15
3bcdf203-459e-4674-b3e7-f042516c3b0a,Request hearing date in U.S. Court of Appeals 9th Circuit for Jacob Bonilla,True,True,True,Legal Professional Query with PII,Litigation Support,Employment Law,"[{""pii_type"": ""PERSON_NAME"", ""value"": ""Request hearing"", ""start_index"": 0, ""end_index"": 15}, {""pii_type"": ""PERSON_NAME"", ""value"": ""date in"", ""start_index"": 16, ""end_index"": 23}, {""pii_type"": ""PERSON_NAME"", ""value"": ""Court of"", ""start_index"": 29, ""end_index"": 37}, {""pii_type"": ""PERSON_NAME"", ""value"": ""Circuit for"", ""start_index"": 50, ""end_index"": 61}, {""pii_type"": ""PERSON_NAME"", ""value"": ""Jacob Bonilla"", ""start_index"": 62, ""end_index"": 75}]",5,PERSON_NAME,"[{""entity_type"": ""person"", ""entity_value"": ""Request hearing"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""date in"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""Court of"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""Circuit for"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""Jacob Bonilla"", ""context"": ""legal_participant""}]",5,75,2025-08-01T10:12:29.642025,16
badfbb75-0ce0-4819-a4c6-1f93a0819bf5,Prepare settlement documents for Alexis Olson (Case: CV-2024-6014),True,True,True,Legal Professional Query with PII,Paralegal,Corporate Law,"[{""pii_type"": ""PERSON_NAME"", ""value"": ""Prepare settlement"", ""start_index"": 0, ""end_index"": 18}, {""pii_type"": ""PERSON_NAME"", ""value"": ""documents for"", ""start_index"": 19, ""end_index"": 32}, {""pii_type"": ""PERSON_NAME"", ""value"": ""Alexis Olson"", ""start_index"": 33, ""end_index"": 45}, {""pii_type"": ""CASE_NUMBER"", ""value"": ""CV-2024-6014"", ""start_index"": 53, ""end_index"": 65}]",4,"PERSON_NAME, CASE_NUMBER","[{""entity_type"": ""person"", ""entity_value"": ""Prepare settlement"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""documents for"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""Alexis Olson"", ""context"": ""legal_participant""}, {""entity_type"": ""case"", ""entity_value"": ""CV-2024-6014"", ""context"": ""legal_case""}]",4,66,2025-08-01T10:12:29.780866,17
bfc51a33-eecd-4622-b820-66f8590eb880,Review discovery materials for Allison Owens's Child Custody case,True,True,True,Legal Professional Query with PII,Case Manager,Tax Law,"[{""pii_type"": ""PERSON_NAME"", ""value"": ""Review discovery"", ""start_index"": 0, ""end_index"": 16}, {""pii_type"": ""PERSON_NAME"", ""value"": ""materials for"", ""start_index"": 17, ""end_index"": 30}, {""pii_type"": ""PERSON_NAME"", ""value"": ""Allison Owens"", ""start_index"": 31, ""end_index"": 44}, {""pii_type"": ""PERSON_NAME"", ""value"": ""Child Custody"", ""start_index"": 47, ""end_index"": 60}]",4,PERSON_NAME,"[{""entity_type"": ""person"", ""entity_value"": ""Review discovery"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""materials for"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""Allison Owens"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""Child Custody"", ""context"": ""legal_participant""}]",4,65,2025-08-01T10:12:29.862575,18
9c1cac23-5334-47f7-85d8-6c95f20b9199,Update contact information for David Morse Jr. - new phone 451-458-8863x67747,True,True,True,Legal Professional Query with PII,Legal Assistant,Real Estate,"[{""pii_type"": ""PERSON_NAME"", ""value"": ""Update contact"", ""start_index"": 0, ""end_index"": 14}, {""pii_type"": ""PERSON_NAME"", ""value"": ""information for"", ""start_index"": 15, ""end_index"": 30}, {""pii_type"": ""PERSON_NAME"", ""value"": ""David Morse"", ""start_index"": 31, ""end_index"": 42}, {""pii_type"": ""PERSON_NAME"", ""value"": ""new phone"", ""start_index"": 49, ""end_index"": 58}]",4,PERSON_NAME,"[{""entity_type"": ""person"", ""entity_value"": ""Update contact"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""information for"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""David Morse"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""new phone"", ""context"": ""legal_participant""}]",4,77,2025-08-01T10:12:29.737593,19
c34ae3df-566e-4d36-8fa9-ef09de4f495b,Analyze profitability by practice area,True,False,False,Legal Professional Query without PII,Compliance Officer,Environmental Law,"[{""pii_type"": ""PERSON_NAME"", ""value"": ""Analyze profitability"", ""start_index"": 0, ""end_index"": 21}, {""pii_type"": ""PERSON_NAME"", ""value"": ""by practice"", ""start_index"": 22, ""end_index"": 33}]",2,PERSON_NAME,"[{""entity_type"": ""person"", ""entity_value"": ""Analyze profitability"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""by practice"", ""context"": ""legal_participant""}]",2,38,2025-08-01T10:12:29.919815,20
8f2e08d3-7b1d-4ca3-a286-e3f8c31496ea,Review billing dispute for case CV-2023-6811,True,True,True,Legal Professional Query with PII,Legal Assistant,Family Law,"[{""pii_type"": ""PERSON_NAME"", ""value"": ""Review billing"", ""start_index"": 0, ""end_index"": 14}, {""pii_type"": ""PERSON_NAME"", ""value"": ""dispute for"", ""start_index"": 15, ""end_index"": 26}, {""pii_type"": ""PERSON_NAME"", ""value"": ""case CV"", ""start_index"": 27, ""end_index"": 34}, {""pii_type"": ""CASE_NUMBER"", ""value"": ""CV-2023-6811"", ""start_index"": 32, ""end_index"": 44}]",4,"PERSON_NAME, CASE_NUMBER","[{""entity_type"": ""person"", ""entity_value"": ""Review billing"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""dispute for"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""case CV"", ""context"": ""legal_participant""}, {""entity_type"": ""case"", ""entity_value"": ""CV-2023-6811"", ""context"": ""legal_case""}]",4,44,2025-08-01T10:12:29.662829,21
06461bf3-15d4-4d73-a21b-acb101a380e5,Update firm website with recent achievements,True,False,False,Legal Professional Query without PII,Litigation Support,Family Law,"[{""pii_type"": ""PERSON_NAME"", ""value"": ""Update firm"", ""start_index"": 0, ""end_index"": 11}, {""pii_type"": ""PERSON_NAME"", ""value"": ""website with"", ""start_index"": 12, ""end_index"": 24}, {""pii_type"": ""PERSON_NAME"", ""value"": ""recent achievements"", ""start_index"": 25, ""end_index"": 44}]",3,PERSON_NAME,"[{""entity_type"": ""person"", ""entity_value"": ""Update firm"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""website with"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""recent achievements"", ""context"": ""legal_participant""}]",3,44,2025-08-01T10:12:29.922601,22
65db6e43-47bf-4db7-82d9-a774ea7f6c7d,Send case files to Austin Schultz (Bar: FL-457541),True,True,True,Legal Professional Query with PII,Associate,Immigration,"[{""pii_type"": ""PERSON_NAME"", ""value"": ""Send case"", ""start_index"": 0, ""end_index"": 9}, {""pii_type"": ""PERSON_NAME"", ""value"": ""files to"", ""start_index"": 10, ""end_index"": 18}, {""pii_type"": ""PERSON_NAME"", ""value"": ""Austin Schultz"", ""start_index"": 19, ""end_index"": 33}, {""pii_type"": ""BAR_NUMBER"", ""value"": ""FL-457541"", ""start_index"": 40, ""end_index"": 49}]",4,"BAR_NUMBER, PERSON_NAME","[{""entity_type"": ""person"", ""entity_value"": ""Send case"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""files to"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""Austin Schultz"", ""context"": ""legal_participant""}]",3,50,2025-08-01T10:12:29.657589,23
191679d3-d240-45ea-b257-e257cc4ae02c,Draft motion for Daniel Ruiz in U.S. Court of Appeals 9th Circuit,True,True,True,Legal Professional Query with PII,Case Manager,Intellectual Property,"[{""pii_type"": ""PERSON_NAME"", ""value"": ""Draft motion"", ""start_index"": 0, ""end_index"": 12}, {""pii_type"": ""PERSON_NAME"", ""value"": ""for Daniel"", ""start_index"": 13, ""end_index"": 23}, {""pii_type"": ""PERSON_NAME"", ""value"": ""Ruiz in"", ""start_index"": 24, ""end_index"": 31}, {""pii_type"": ""PERSON_NAME"", ""value"": ""Court of"", ""start_index"": 37, ""end_index"": 45}]",4,PERSON_NAME,"[{""entity_type"": ""person"", ""entity_value"": ""Draft motion"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""for Daniel"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""Ruiz in"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""Court of"", ""context"": ""legal_participant""}]",4,65,2025-08-01T10:12:29.674845,24
36160e06-3ee2-4ae3-825a-ac2e97967ef5,Update status for case CV-2020-1594 in U.S. Court of Appeals 9th Circuit,True,True,True,Legal Professional Query with PII,Case Manager,Environmental Law,"[{""pii_type"": ""PERSON_NAME"", ""value"": ""Update status"", ""start_index"": 0, ""end_index"": 13}, {""pii_type"": ""PERSON_NAME"", ""value"": ""for case"", ""start_index"": 14, ""end_index"": 22}, {""pii_type"": ""PERSON_NAME"", ""value"": ""Court of"", ""start_index"": 44, ""end_index"": 52}, {""pii_type"": ""ADDRESS"", ""value"": ""1594 in U"", ""start_index"": 31, ""end_index"": 40}, {""pii_type"": ""CASE_NUMBER"", ""value"": ""CV-2020-1594"", ""start_index"": 23, ""end_index"": 35}]",5,"ADDRESS, PERSON_NAME, CASE_NUMBER","[{""entity_type"": ""person"", ""entity_value"": ""Update status"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""for case"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""Court of"", ""context"": ""legal_participant""}, {""entity_type"": ""case"", ""entity_value"": ""CV-2020-1594"", ""context"": ""legal_case""}]",4,72,2025-08-01T10:12:29.844562,25
f01ac6cb-f6f4-4272-8918-3f4257fad2ab,Develop expertise in emerging legal areas,True,False,False,Legal Professional Query without PII,Case Manager,Corporate Law,"[{""pii_type"": ""PERSON_NAME"", ""value"": ""Develop expertise"", ""start_index"": 0, ""end_index"": 17}, {""pii_type"": ""PERSON_NAME"", ""value"": ""in emerging"", ""start_index"": 18, ""end_index"": 29}, {""pii_type"": ""PERSON_NAME"", ""value"": ""legal areas"", ""start_index"": 30, ""end_index"": 41}]",3,PERSON_NAME,"[{""entity_type"": ""person"", ""entity_value"": ""Develop expertise"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""in emerging"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""legal areas"", ""context"": ""legal_participant""}]",3,41,2025-08-01T10:12:29.912799,26
c3187084-ee7d-4068-8101-7319f603f719,Research recent precedents in employment law,True,False,False,Legal Professional Query without PII,Litigation Support,Securities Law,"[{""pii_type"": ""PERSON_NAME"", ""value"": ""Research recent"", ""start_index"": 0, ""end_index"": 15}, {""pii_type"": ""PERSON_NAME"", ""value"": ""precedents in"", ""start_index"": 16, ""end_index"": 29}, {""pii_type"": ""PERSON_NAME"", ""value"": ""employment law"", ""start_index"": 30, ""end_index"": 44}]",3,PERSON_NAME,"[{""entity_type"": ""person"", ""entity_value"": ""Research recent"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""precedents in"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""employment law"", ""context"": ""legal_participant""}]",3,44,2025-08-01T10:12:29.917737,27
4f4d4844-f692-4421-8aad-ece3feb3034b,Develop FAQ for common legal questions,True,False,False,Legal Professional Query without PII,Associate,Immigration,"[{""pii_type"": ""PERSON_NAME"", ""value"": ""Develop FAQ"", ""start_index"": 0, ""end_index"": 11}, {""pii_type"": ""PERSON_NAME"", ""value"": ""for common"", ""start_index"": 12, ""end_index"": 22}, {""pii_type"": ""PERSON_NAME"", ""value"": ""legal questions"", ""start_index"": 23, ""end_index"": 38}]",3,PERSON_NAME,"[{""entity_type"": ""person"", ""entity_value"": ""Develop FAQ"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""for common"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""legal questions"", ""context"": ""legal_participant""}]",3,38,2025-08-01T10:12:29.913081,28
82ace0dc-ed3f-4aff-8237-7bd087e555c1,Calculate settlement distribution for Matthew Ford,True,True,True,Legal Professional Query with PII,Attorney,Tax Law,"[{""pii_type"": ""PERSON_NAME"", ""value"": ""Calculate settlement"", ""start_index"": 0, ""end_index"": 20}, {""pii_type"": ""PERSON_NAME"", ""value"": ""distribution for"", ""start_index"": 21, ""end_index"": 37}, {""pii_type"": ""PERSON_NAME"", ""value"": ""Matthew Ford"", ""start_index"": 38, ""end_index"": 50}]",3,PERSON_NAME,"[{""entity_type"": ""person"", ""entity_value"": ""Calculate settlement"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""distribution for"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""Matthew Ford"", ""context"": ""legal_participant""}]",3,50,2025-08-01T10:12:29.900322,29
