prompt_id,prompt,contains_pii,verified_pii,prompt_type,source_patient_id,num_patients,final_index
pii_0135,Contact emergency contacts: Joseph Day for Alexandra Cummings and Thomas Miller for Kimberly Castro,True,True,with_pii,"['346d592e-6c9c-4ebd-be86-73bf2d085b30', '54178c7e-61e6-42f9-ba81-a8587a429c49']",2,41
nopii_0433,What are the latest treatment protocols for diabetes management?,False,False,without_pii,[],0,42
nopii_0001,What continuing education is required for medical assistants?,False,False,without_pii,[],0,43
pii_0394,Check the allergy information for patient Kayla Garcia (DOB: 02/11/1999),True,True,with_pii,['539eceb1-6f78-40aa-9263-aba24715fe03'],1,44
pii_0050,Compare treatment outcomes between Autumn Ingram (MRN: MRN-812325) and Francisco Andrews (MRN: MRN-286331),True,True,with_pii,"['3f98ce50-c01b-45b0-88ab-3a06e27868f2', '00eaf991-8c2b-4b77-a479-4eeadf78f5e3']",2,45
nopii_0070,What preventive care services should we offer in the community?,False,False,without_pii,[],0,46
pii_0369,Call emergency contact Elizabeth Hunter at 8944525539 for Brett Coffey,True,True,with_pii,['2a2994ae-1074-42e4-93b7-56e00078fc81'],1,47
pii_0378,Schedule surgery for Cindy Baker (MRN: MRN-190275) with Dr. Dr. Kayla Hernandez,True,True,with_pii,['b0d18df1-484f-4db9-b50b-9f519f310fff'],1,48
nopii_0186,Develop competency assessments for critical care nurses,False,False,without_pii,[],0,49
pii_0364,"Analyze demographics: Ashley Austin (Age: 55, African American) vs Paul Buck (Age: 32, Pacific Islander)",True,True,with_pii,"['d0f92d7b-5d93-4bf0-810e-07c1bf8e2640', 'e85580e4-73af-4cd9-8014-c6d0692a8cc2']",2,50
pii_0388,Compare blood work results for Jamie Leon (Blood Type: B+) and Haley Love (Blood Type: A+),True,True,with_pii,"['d9662bc6-48b6-436f-a6d9-ec3a546b5498', '6de46fed-bece-4286-89f6-84396f77cc54']",2,51
nopii_0007,What biomarkers show promise for early disease detection?,False,False,without_pii,[],0,52
pii_0019,Send appointment reminders to Tracy Collier (tracy767@gmail.com) and Steven Brown (steven.brown@icloud.com),True,True,with_pii,"['40dc13d0-1b90-4ccb-9717-0190960f765d', '5cb85aed-f5f6-4c97-aefb-63b11b049863']",2,53
nopii_0252,How do we ensure compliance with controlled substance regulations?,False,False,without_pii,[],0,54
pii_0396,Review quality metrics for Thomas Brown's care in New Rachel Specialty Center,True,True,with_pii,['499b1189-6033-46a1-a3ad-6424feb9fe3b'],1,55
nopii_0453,How can we improve vaccination rates in our service area?,False,False,without_pii,[],0,56
nopii_0011,Analyze utilization rates for operating rooms,False,False,without_pii,[],0,57
pii_0155,Contact emergency contacts: Joanna Burke for Carl Harvey and Christopher Richards for Rita Martin,True,True,with_pii,"['5763c5c0-1934-449c-81b6-69c67f6c945f', 'f082c877-2fc6-4e86-b69e-2dc42599a284']",2,58
pii_0082,Review care coordination between Dr. Rachel Marshall for Charles Page and Dr. April Gutierrez for Trevor Thomas,True,True,with_pii,"['f123167e-596a-4b36-b2d7-cc222a1eda7b', '6138ecb0-3f2e-4130-b843-48458032dee2']",2,59
nopii_0161,What emergency preparedness plans do we need for natural disasters?,False,False,without_pii,[],0,60
pii_0379,Schedule group therapy session for Aaron Rubio ((841)654-1520) and Angela Andrade (001-280-905-5733),True,True,with_pii,"['2c3aacdc-aed5-4a46-8bde-005b5d8babd7', '3d675516-4988-4e35-abba-2b8b27fcb080']",2,61
nopii_0075,Create educational materials for patient medication compliance,False,False,without_pii,[],0,62
nopii_0456,Create simulation scenarios for emergency department training,False,False,without_pii,[],0,63
pii_0336,Schedule a follow-up appointment for Patricia Jones (Phone: 226.252.7354x352) in Pediatrics,True,True,with_pii,['c9a62c37-3507-4c5d-8b62-f5b693423b4f'],1,64
pii_0330,Schedule surgery for James Melendez (MRN: MRN-818507) with Dr. Dr. Madison Hahn,True,True,with_pii,['7426a754-54cf-4750-a2ba-ad72888e552c'],1,65
nopii_0187,What health education programs would benefit local schools?,False,False,without_pii,[],0,66
pii_0296,Schedule surgery for Janice Roberts (MRN: MRN-574602) with Dr. Dr. Jessica Fritz,True,True,with_pii,['85ef875e-2675-4363-ae50-f96e776094f6'],1,67
pii_0357,"Process billing for Andrew Lewis (Insurance: Kaiser Permanente, ID: INS-8235722)",True,True,with_pii,['28d419a7-f0be-451f-854d-1bc890c422eb'],1,68
pii_0426,"Process billing for Tanner Ho (Insurance: Kaiser Permanente, ID: INS-5620307)",True,True,with_pii,['3c6736b0-7f18-4a88-b02d-81dddc6434ef'],1,69
nopii_0471,Review patient satisfaction scores for nursing staff,False,False,without_pii,[],0,70
nopii_0013,Create standard operating procedures for blood transfusions,False,False,without_pii,[],0,71
pii_0354,Verify prescription for Heather Schroeder (MRN: MRN-580637): Escitalopram,True,True,with_pii,['ed8465e1-f055-455d-8006-bae53264a8ec'],1,72
pii_0096,Document Julie Nolan's emergency contact as Anita Lucas (Friend),True,True,with_pii,['912855ef-46dc-44fd-9336-f98bcf252200'],1,73
pii_0410,Send consultation request to Dr. Dr. Diamond Lopez for patient Joseph King,True,True,with_pii,['ef7e1940-f568-4574-93ca-aeb6f486a251'],1,74
pii_0328,Update patient Kristopher Anderson's ethnicity as Asian in system,True,True,with_pii,['95622b92-3c4c-4c4e-8467-b3df30f35dc3'],1,75
nopii_0288,Develop competency assessments for critical care nurses,False,False,without_pii,[],0,76
nopii_0482,Review options for automated medication dispensing systems,False,False,without_pii,[],0,77
pii_0212,Update patient John Cruz's ethnicity as Asian in system,True,True,with_pii,['8e3898b3-3833-45b8-af6e-8679b306604b'],1,78
pii_0326,Create referral letter for Tony Flores to Gastroenterology specialist,True,True,with_pii,['2681e5bb-dfbb-4a43-a6da-916cd30606ae'],1,79
pii_0116,Schedule group therapy session for Brenda Watson (+1-950-426-7551x2542) and Kathleen Scott (887-562-0990),True,True,with_pii,"['f860b58f-bd8c-432e-ab7d-09b27d01d706', 'efa60f91-ac53-45e0-b2df-8f171d5c795c']",2,80
nopii_0142,Analyze utilization rates for operating rooms,False,False,without_pii,[],0,81
nopii_0251,How can we support healthy lifestyle initiatives in the community?,False,False,without_pii,[],0,82
pii_0465,Review quality metrics for Diane Fox's care in Charleneshire University Hospital,True,True,with_pii,['91ae3d4c-6659-4d83-920b-725b17871810'],1,83
nopii_0198,Review requirements for clinical trial documentation,False,False,without_pii,[],0,84
pii_0189,"Process billing for Sarah Mack (Insurance: Medicaid, ID: INS-3483601)",True,True,with_pii,['63754082-420d-4799-bffe-5b8b7ae32c9a'],1,85
nopii_0480,Review requirements for clinical trial documentation,False,False,without_pii,[],0,86
nopii_0412,What emergency preparedness plans do we need for natural disasters?,False,False,without_pii,[],0,87
pii_0108,Contact emergency contacts: Barry Dunn for Timothy Alvarado and Anthony Cook for Andrew Cruz,True,True,with_pii,"['d6bca712-6ecc-4931-af70-5d018da03d88', '34c64309-78b3-4bc1-b3c3-0ff636dfe182']",2,88
nopii_0214,How can we improve patient flow in the emergency department?,False,False,without_pii,[],0,89
pii_0063,Contact Keith Wright at keith.wright262@hotmail.com about their upcoming procedure,True,True,with_pii,['194d397d-b09d-4d19-813b-4e2085a3a473'],1,90
pii_0219,Review lab results for Kari Meyers (MRN: MRN-165157) regarding Carboplatin treatment,True,True,with_pii,['fe77457f-0d88-45de-9e16-448fc682fc1a'],1,91
nopii_0369,What are the requirements for Joint Commission accreditation?,False,True,without_pii,[],0,92
nopii_0063,Review Medicare documentation requirements for billing,False,True,without_pii,[],0,93
pii_0020,"Process billing for Thomas Garner (Insurance: Medicaid, ID: INS-3540849)",True,True,with_pii,['c6026414-b5be-485b-ac0b-6ca6dec16a34'],1,94
pii_0307,Assess treatment compliance for Jessica Carter and Daniel Owens on similar medications,True,True,with_pii,"['38283a05-2baa-43c9-bb4e-9ecdde0787b1', 'bd676ba0-89c9-40f3-9dcc-91b05a0fdf61']",2,95
nopii_0074,What are the capacity planning needs for the coming year?,False,False,without_pii,[],0,96
pii_0316,Emergency admission for Virginia Martin (Blood Type: AB-) to Psychiatry,True,True,with_pii,['8cc7c35b-acbe-4e4d-aa4b-771757020933'],1,97
pii_0179,Review allergy list for Michelle Bennett: None before dispensing Metformin,True,True,with_pii,['02759964-4925-48c1-bdc5-2c85e0c81a48'],1,98
pii_0361,Compare Orthopedics and Cardiology outcomes for Alexandra Cummings and Donald Martin,True,True,with_pii,"['346d592e-6c9c-4ebd-be86-73bf2d085b30', 'f0d851ad-12c3-4d13-8eb7-13272650d902']",2,99
nopii_0088,Analyze readmission rates across all departments this quarter,False,False,without_pii,[],0,100
nopii_0238,Design workshops on cultural competency in healthcare,False,False,without_pii,[],0,101
nopii_0394,What features should our new patient portal include?,False,False,without_pii,[],0,102
nopii_0188,How should we prepare for state licensing inspections?,False,False,without_pii,[],0,103
nopii_0200,What emergency preparedness plans do we need for natural disasters?,False,False,without_pii,[],0,104
nopii_0027,What are the capacity planning needs for the coming year?,False,False,without_pii,[],0,105
pii_0013,Document Michael Pierce's emergency contact as Jonathan Sullivan (Friend),True,True,with_pii,['6f4e0e9f-06a8-44f5-92a5-656b737140d5'],1,106
nopii_0469,What biomarkers show promise for early disease detection?,False,False,without_pii,[],0,107
pii_0374,Update insurance information for Shelley Rowland with UnitedHealthcare (ID: INS-7511503),True,True,with_pii,['8bc85d37-09cc-4f1a-9c38-7c2a1243e838'],1,108
pii_0332,What medications should we prescribe for Cheryl Patel with diagnosis C50.911?,True,True,with_pii,['27b185f6-309b-4234-930a-ef28f92031df'],1,109
nopii_0455,What are the current HIPAA privacy requirements?,False,False,without_pii,[],0,110
nopii_0385,Review patient satisfaction scores for nursing staff,False,False,without_pii,[],0,111
nopii_0253,Create standard operating procedures for blood transfusions,False,False,without_pii,[],0,112
pii_0492,Access the emergency contact Michael Jimenez (+1-394-974-5080x9897) for patient Wayne West,True,True,with_pii,['313cb853-ced7-4903-8c2e-4454cf82779e'],1,113
nopii_0438,Update the emergency response procedures for cardiac arrest,False,False,without_pii,[],0,114
nopii_0371,What are the updated Joint Commission safety goals?,False,True,without_pii,[],0,115
pii_0221,Prepare discharge instructions for Christopher Stewart (Blood Type: AB+),True,True,with_pii,['aa500a5a-903d-48f8-b9c2-2c9c6936059e'],1,116
pii_0119,Schedule a follow-up appointment for Julie Underwood (Phone: 001-202-276-4513) in Oncology,True,True,with_pii,['33fc0e5f-9c9b-443f-965d-8c8d7728e710'],1,117
nopii_0042,How do we balance research activities with clinical care?,False,False,without_pii,[],0,118
pii_0158,Create referral letter for Michael Dominguez to Orthopedics specialist,True,True,with_pii,['2d8d3701-54dc-4efa-97d5-936c5455223c'],1,119
nopii_0424,Design workshops on cultural competency in healthcare,False,False,without_pii,[],0,120
nopii_0308,How should we respond to seasonal flu outbreaks?,False,False,without_pii,[],0,121
pii_0477,Review the Critical condition of Melissa Allen in Oncology,True,True,with_pii,['9d9de80a-2d0e-4e63-af22-2448ef1215b2'],1,122
pii_0331,Rush blood work for Douglas Johnson (MRN: MRN-439753) due to Levothyroxine reaction,True,True,with_pii,['357650f9-0937-4982-96f4-8688333b5a5d'],1,123
pii_0220,Check the allergy information for patient Roger Ramos (DOB: 02/21/1959),True,True,with_pii,['59b7de4b-dbbc-4e37-86e0-90313eccd90a'],1,124
nopii_0095,How can we improve patient flow in the emergency department?,False,False,without_pii,[],0,125
nopii_0365,Review Medicare documentation requirements for billing,False,True,without_pii,[],0,126
pii_0186,Schedule surgery for Justin White (MRN: MRN-523847) with Dr. Dr. Ricky Lyons,True,True,with_pii,['6d0b4f01-cf09-4990-bb5f-b4278fd1bc4e'],1,127
nopii_0061,What documentation is required for controlled substance prescriptions?,False,False,without_pii,[],0,128
nopii_0328,Review patient satisfaction scores for nursing staff,False,False,without_pii,[],0,129
nopii_0166,How can we improve patient flow in the emergency department?,False,False,without_pii,[],0,130
nopii_0179,What continuing education is required for medical assistants?,False,False,without_pii,[],0,131
nopii_0493,Analyze utilization rates for operating rooms,False,False,without_pii,[],0,132
nopii_0390,How should we address social determinants of health in our programs?,False,False,without_pii,[],0,133
nopii_0286,What documentation is required for controlled substance prescriptions?,False,False,without_pii,[],0,134
nopii_0079,How can we reduce average length of stay in the ICU?,False,False,without_pii,[],0,135
pii_0356,Call emergency contact Mary Santos at (304)272-7790 for Tara Bishop,True,True,with_pii,['5844f9fc-114b-4547-89dc-72b85b6a8102'],1,136
nopii_0317,What training is needed for new electronic health record system?,False,False,without_pii,[],0,137
pii_0476,Prepare discharge instructions for Alicia Davis (Blood Type: O+),True,True,with_pii,['7842cbc6-a001-4ba6-8a14-8b9fb6db95fb'],1,138
nopii_0112,Develop competency assessments for critical care nurses,False,False,without_pii,[],0,139
pii_0346,Review shared insurance coverage for Brenda Thompson and Jacqueline Lang under Aetna,True,True,with_pii,"['20cbbd96-6699-4ac3-b8f8-d92a3b6c28c5', '1d9fff25-7e63-4654-93ff-5f1f150e3388']",2,140
nopii_0377,How can we participate in national quality improvement initiatives?,False,False,without_pii,[],0,141
nopii_0408,What staffing ratios are required for different units?,False,False,without_pii,[],0,142
pii_0415,Immediate consultation needed for Matthew Brewer (Phone: 292-481-5037x017) in Andersonside University Hospital,True,True,with_pii,['04c0d48a-98bf-4a3e-a867-035e3706f04c'],1,143
nopii_0073,Design workshops on cultural competency in healthcare,False,False,without_pii,[],0,144
nopii_0318,Analyze trends in hospital-acquired infections,False,False,without_pii,[],0,145
nopii_0380,What are the medication dosage guidelines for elderly patients?,False,False,without_pii,[],0,146
nopii_0280,What partnerships would enhance our research capabilities?,False,False,without_pii,[],0,147
nopii_0031,Create educational materials for patient medication compliance,False,False,without_pii,[],0,148
nopii_0072,What are the medication dosage guidelines for elderly patients?,False,False,without_pii,[],0,149
pii_0098,Create referral letter for Kathryn Newman to Pediatrics specialist,True,True,with_pii,['555df8c6-a2f8-4dea-8b22-eb8d9a0bd63d'],1,150
nopii_0017,Review incident reports for falls prevention strategies,False,False,without_pii,[],0,151
nopii_0409,What quality metrics must be reported to CMS?,False,False,without_pii,[],0,152
pii_0440,Transfer records for Jeffrey Mcmillan from West Denise Specialty Center to another facility,True,True,with_pii,['ce22a106-706f-4aee-8ead-fa0f2a61fe80'],1,153
nopii_0212,How should we address social determinants of health in our programs?,False,False,without_pii,[],0,154
pii_0124,"Update the address for patient Jeanette Simpson to 26949 Hunter Heights Apt. 645, New Adrian, FM 90092",True,True,with_pii,['642bb07d-0432-47e4-9847-d750378ce7b7'],1,155
pii_0031,Review allergy list for Sherri Rogers: None before dispensing Gabapentin,True,True,with_pii,['7ede0a0a-aa0f-4335-8fb7-1ca6a4ec1371'],1,156
pii_0304,Update insurance information for Carrie Robinson with UnitedHealthcare (ID: INS-5238482),True,True,with_pii,['3c3826aa-b979-48ac-aad2-27020fcc588e'],1,157
nopii_0355,Review incident reports for falls prevention strategies,False,False,without_pii,[],0,158
pii_0210,Schedule surgery for Angela Beltran (MRN: MRN-559683) with Dr. Dr. Kathryn Sanchez,True,True,with_pii,['5c93e629-e106-4e32-88fb-044ad1c76cf1'],1,159
nopii_0324,Review requirements for clinical trial documentation,False,False,without_pii,[],0,160
pii_0496,Compare Oncology and Psychiatry outcomes for Jill Brown and William Stephenson,True,True,with_pii,"['2ea9ef6c-4905-4b93-890a-83b4b639529e', '606ffff0-66be-45d6-837b-40b254d1fcea']",2,161
pii_0488,"Update the address for patient Gilbert Gutierrez to 529 Allison Mission Suite 403, Pricechester, OH 62802",True,True,with_pii,['aecf1445-1a0f-476e-8c30-bb021636244e'],1,162
pii_0314,Check the allergy information for patient Ashley Austin (DOB: 10/25/1969),True,True,with_pii,['d0f92d7b-5d93-4bf0-810e-07c1bf8e2640'],1,163
nopii_0067,Create simulation scenarios for emergency department training,False,False,without_pii,[],0,164
pii_0341,Compare blood work results for Brent Odom (Blood Type: A-) and Joseph King (Blood Type: O+),True,True,with_pii,"['f2cfea1d-e44b-447c-9d5b-ec72a839e062', 'ef7e1940-f568-4574-93ca-aeb6f486a251']",2,165
nopii_0071,Update the emergency response procedures for cardiac arrest,False,False,without_pii,[],0,166
nopii_0397,What are the latest guidelines for hand hygiene compliance?,False,False,without_pii,[],0,167
nopii_0241,What are the latest guidelines for hand hygiene compliance?,False,False,without_pii,[],0,168
pii_0142,"Include Rachel Brown (Age: 44, Ethnicity: Hispanic/Latino) in Cardiology research study",True,True,with_pii,['7c198515-208b-426a-817b-2f2124f3df14'],1,169
nopii_0056,How should we respond to seasonal flu outbreaks?,False,False,without_pii,[],0,170
nopii_0170,What documentation is required for controlled substance prescriptions?,False,False,without_pii,[],0,171
pii_0500,Verify prescription for Ashley Austin (MRN: MRN-822825): Amoxicillin,True,True,with_pii,['d0f92d7b-5d93-4bf0-810e-07c1bf8e2640'],1,172
nopii_0468,Develop competency assessments for critical care nurses,False,False,without_pii,[],0,173
nopii_0155,Review Medicare documentation requirements for billing,False,True,without_pii,[],0,174
pii_0275,Generate medical certificate for Emily Stewart (SSN: 434-99-8686) for work absence,True,True,with_pii,['a8cee611-604f-49c2-9711-48184ed65164'],1,175
pii_0001,Contact emergency contacts: Logan Tran for Joseph King and Katie Calderon for Wendy Villanueva,True,True,with_pii,"['ef7e1940-f568-4574-93ca-aeb6f486a251', '8dba6cac-f984-43b6-beeb-d53dc4a69bc7']",2,176
nopii_0047,Update the emergency response procedures for cardiac arrest,False,False,without_pii,[],0,177
pii_0487,Access the emergency contact Wendy Peters (923.443.0980x5009) for patient John Kennedy,True,True,with_pii,['8b10550c-d570-4f32-b02c-dd20286218b8'],1,178
pii_0021,Contact April Reeves at april722@hotmail.com about their upcoming procedure,True,True,with_pii,['33c8a51f-7318-4d3d-bda8-cf85f6d1e901'],1,179
nopii_0053,How do we ensure compliance with controlled substance regulations?,False,False,without_pii,[],0,180
pii_0172,Contact Elizabeth Smith at elizabeth.smith@aol.com about their upcoming procedure,True,True,with_pii,['f0678d81-590d-423b-b390-1c466ec480b2'],1,181
pii_0238,"Process billing for Emily Wright (Insurance: Aetna, ID: INS-8359842)",True,True,with_pii,['a8d99292-4a85-4443-bba8-78d934b55b86'],1,182
pii_0004,Contact emergency contacts: Sean Rowland for Jeanette Simpson and Eric Palmer for James Miller,True,True,with_pii,"['642bb07d-0432-47e4-9847-d750378ce7b7', '35746477-a87d-42af-bae8-160aedafea54']",2,183
pii_0327,Schedule surgery for Karen Mayer (MRN: MRN-552991) with Dr. Dr. Sharon Austin,True,True,with_pii,['448a441e-7caf-469b-a08a-6208ebec8b0a'],1,184
nopii_0271,How can we reduce average length of stay in the ICU?,False,False,without_pii,[],0,185
pii_0152,"Update the address for patient Maxwell Middleton to 041 Robert Point Apt. 596, Ricardomouth, IN 69660",True,True,with_pii,['b8a9c83c-3dc7-46d6-9e09-3961b19d78e3'],1,186
nopii_0143,How can we implement telemedicine services effectively?,False,False,without_pii,[],0,187
nopii_0291,How do we ensure compliance with controlled substance regulations?,False,False,without_pii,[],0,188
pii_0046,Verify insurance coverage for Barbara Wood (Insurance ID: INS-9770096),True,True,with_pii,['a49ad87c-833f-431e-b650-2aefea9317e9'],1,189
pii_0060,"Process billing for Tracy Browning (Insurance: Humana, ID: INS-3560856)",True,True,with_pii,['2451e5a4-11d0-49b2-a699-cd99a847bce7'],1,190
nopii_0019,What outcomes research would benefit our patient population?,False,False,without_pii,[],0,191
nopii_0391,Review pain management protocols for post-surgical patients,False,False,without_pii,[],0,192
nopii_0146,What are the latest treatment protocols for diabetes management?,False,False,without_pii,[],0,193
pii_0011,Generate medical certificate for Lisa Hicks (SSN: 053-32-4903) for work absence,True,True,with_pii,['6da6c71e-f3fc-452d-8257-5b1b51ee075a'],1,194
pii_0171,Check the allergy information for patient Paul Browning (DOB: 04/02/1963),True,True,with_pii,['f9723977-52c0-4f9b-9f16-eb702219b7f7'],1,195
nopii_0180,Review incident reports for falls prevention strategies,False,False,without_pii,[],0,196
pii_0160,Prepare discharge instructions for Christopher Cabrera (Blood Type: A-),True,True,with_pii,['729f0472-6c41-4982-9787-f16dd965b593'],1,197
pii_0169,Review the Severe condition of Kimberly Holloway in Emergency Medicine,True,True,with_pii,['6ece727a-a1c7-457a-9237-4a0341b895e0'],1,198
pii_0459,Update patient Jamie Smith's ethnicity as Pacific Islander in system,True,True,with_pii,['624d3473-60bc-4cbc-9987-e6d09a7171aa'],1,199
nopii_0405,What staffing ratios are required for different units?,False,False,without_pii,[],0,200
nopii_0345,Develop training modules for new nursing staff orientation,False,False,without_pii,[],0,201
pii_0122,What medications should we prescribe for Thomas Martin with diagnosis K21.9?,True,True,with_pii,['dd200d2a-28fa-4981-99b5-f891ad2e6105'],1,202
nopii_0366,What are the medication dosage guidelines for elderly patients?,False,False,without_pii,[],0,203
nopii_0060,How can artificial intelligence improve diagnostic accuracy?,False,False,without_pii,[],0,204
nopii_0435,What mobile health applications should we recommend?,False,False,without_pii,[],0,205
nopii_0375,What are the updated Joint Commission safety goals?,False,True,without_pii,[],0,206
nopii_0221,Review cost-effectiveness of surgical supplies procurement,False,False,without_pii,[],0,207
nopii_0030,What are the best practices for patient discharge planning?,False,False,without_pii,[],0,208
pii_0207,Verify insurance coverage for Joshua Patterson (Insurance ID: INS-1233207),True,True,with_pii,['19f145cc-0244-44d7-9ac2-a17666edef30'],1,209
nopii_0243,Develop competency assessments for critical care nurses,False,False,without_pii,[],0,210
nopii_0354,How can we improve patient flow in the emergency department?,False,False,without_pii,[],0,211
pii_0291,Check drug interactions for Andrew Smith with current medication Sertraline,True,True,with_pii,['90b9ae31-c46a-4405-82d4-c7348ed65860'],1,212
pii_0131,Assess treatment compliance for Tara Hogan and Michael Jones on similar medications,True,True,with_pii,"['35b5b64c-034b-4d43-8c33-35d6b0a931d1', '6a34c854-1071-4d51-b6c5-9dacb4d7e28e']",2,213
pii_0362,Verify prescription for Jessica Price (MRN: MRN-645290): Ibuprofen,True,True,with_pii,['e4cb0f8d-0d3a-4465-9702-bc808466d7f3'],1,214
nopii_0219,What infection control measures are mandated by state health department?,False,False,without_pii,[],0,215
nopii_0479,What quality metrics must be reported to CMS?,False,False,without_pii,[],0,216
nopii_0068,Design workshops on cultural competency in healthcare,False,False,without_pii,[],0,217
nopii_0359,How should we respond to seasonal flu outbreaks?,False,False,without_pii,[],0,218
